exp,ID,rec_time_raw_min,num_chans,fs,art1_time_min,art1_nepochs,art1_nsamples,art1_perc_time,bpfilter,bsfilter,detrend,demean,zapline,rej_chans,reject_ica_components,method_interpolate,art2_time_min,art2_nepochs,art2_nsamples,art2_perc_time,art1_2_perc_time,final_time_min,reref_channel,date_preproc,fs_ds,Nchan_rej,Notes
OSF_simple,A10,17.1333,64,512,2.5368,11,77932,14.8065,[0.5 100],[],yes,yes,yes,FC3,[1 5],spline,0.13923,8,4277,0.8126,15.6191,14.4573,all,01/07/2026,512,1,--
OSF_simple,A11,18.4166,64,512,2.0801,18,63900,11.2946,[0.5 100],[],yes,yes,yes,,[1 10],,0,0,0,0,11.2946,16.3366,all,02/07/2026,512,0,--
OSF_simple,A12,17.75,64,512,0.63587,8,19534,3.5824,[0.5 100],[],yes,yes,yes,F4,3,spline,0.23105,9,7098,1.3017,4.8841,16.8831,all,02/07/2026,512,1,--
OSF_simple,A13,18.4666,64,512,0.24811,5,7622,1.3436,[0.5 100],[],yes,yes,yes,,[1 7],,1.1162,25,34291,6.0447,7.3882,17.1023,all,02/07/2026,512,0,--
OSF_simple,A15,19.5333,64,512,1.6006,27,49169,8.194,[0.5 100],[],yes,yes,yes,,[1 4],,1.7658,41,54245,9.0399,17.2339,16.167,all,02/07/2026,512,0,--
OSF_simple,A16,17.55,64,512,1.1913,23,36598,6.7883,[0.5 100],[],yes,yes,yes,,[1 10],,0.586,18,18002,3.3391,10.1273,15.7727,all,02/07/2026,512,0,--
OSF_simple,A17,17.9833,64,512,1.8288,43,56181,10.1695,[0.5 100],[],yes,yes,yes,,[1 6],,0.32969,9,10128,1.8333,12.0028,15.8248,all,02/07/2026,512,0,--
OSF_simple,A18,18.65,64,512,2.6359,43,80974,14.1334,[0.5 100],[],yes,yes,yes,Pz,[2 9],spline,0.39837,18,12238,2.136,16.2694,15.6166,all,03/07/2026,512,1,--
TalKennet,11201,4.0833,70,1000,0.0016667,1,50,0.040816,[0.5 100],[],yes,yes,yes,"P4,F1,CP3",3,spline,0.31833,21,9550,7.796,7.8368,3.7633,all,07/07/2026,500,3,--
TalKennet,11301,4.1833,70,1000,0.27477,8,8243,6.5682,[0.5 100],[],yes,yes,yes,"PO7,TP10,T9,TP9,P8,P9,P10,Fp1",[2 4],spline,0.3659,21,10977,8.7466,15.3148,3.5427,all,07/07/2026,500,8,--
TalKennet,11302,4.2333,70,1000,0.10457,5,3137,2.4701,[0.5 100],[],yes,yes,yes,"Iz,P10,C4,T8,T10,TP9,TP10,FT9,T9,Cz,TP7,PO8",[2 6],spline,0.65133,35,19540,15.3859,17.856,3.4774,all,07/07/2026,500,12,--
TalKennet,13703,4.1833,70,1000,0.011167,1,335,0.26693,[0.5 100],[],yes,yes,yes,"FT10,T10,AF7,O1,FT9,PO8,AF8,T9,TP10,P9",1,spline,0.038933,3,1168,0.93068,1.1976,4.1332,all,07/07/2026,500,10,--
TalKennet,30801,4.1,70,1000,0.071567,8,2147,1.7455,[0.5 100],[],yes,yes,yes,"T9,T10,TP9,TP10",[1 13],spline,0.1213,7,3639,2.9585,4.7041,3.9088,all,08/07/2026,500,4,--
TalKennet,32901,4.5333,70,1000,0.79823,6,23947,17.6082,[0.5 100],[],yes,yes,yes,"T10,TP10,T9,C5,FT9",[1 6],spline,0.13447,4,4034,2.9662,20.5743,3.6023,all,08/07/2026,500,5,--
TalKennet,86401,4.1166,70,1000,0.34287,6,10286,8.3288,[0.5 100],[],yes,yes,yes,T9,2,spline,0.30947,5,9284,7.5174,15.8462,3.5123,all,08/07/2026,500,1,--
TalKennet,89201,4.1833,70,1000,0.0904,2,2712,2.161,[0.5 100],[],yes,yes,yes,"P7,PO7,TP9,AF7,F7,FT9,FT7,FT10,T9,T10,TP7,TP8,TP10,P8,P9,P10,Iz,PO8",[1 2],spline,0.0861,4,2583,2.0582,4.2191,4.0073,all,08/07/2026,500,18,--
TalKennet,93101,4.15,70,1000,0.030167,3,905,0.72691,[0.5 100],[],yes,yes,yes,"T9,FT9,FT10,T10,TP10,P10,FC2",[1 5],spline,0.0858,4,2574,2.0675,2.7944,4.034,all,08/07/2026,500,7,--
TalKennet,98101,4.25,70,1000,0.18327,5,5498,4.3122,[0.5 100],[],yes,yes,yes,"FCz,T9,FT9,T10,P9,PO8,O1,Iz,T7,P10,TP10",[1 4 5],spline,0.010833,2,325,0.2549,4.5671,4.0559,all,08/07/2026,500,11,--
TalKennet,98501,4.25,70,1000,0.27293,7,8188,6.422,[0.5 100],[],yes,yes,yes,"FT9,T9,TP9,P9,T10,F8,FT10,PO3,POz",[1 2 5],spline,0.37117,9,11135,8.7334,15.1554,3.7014,all,08/07/2026,500,9,--
TalKennet,101801,5.9167,70,1000,2.6323,6,78968,44.4891,[0.5 100],[],yes,yes,yes,"Fp1,FT10,T9,T10,TP9,TP8,TP10,P10,O2,FT9,P7,PO8,T7,C3,P6",[2 3],spline,0.043533,2,1306,0.73578,45.2249,3.2409,all,08/07/2026,500,15,Weird PSD
TalKennet,101901,4.2833,70,1000,0,0,0,0,[0.5 100],[],yes,yes,yes,"Fp1,Fp2,Fz,T9,P10,PO3",1,spline,0.2225,7,6675,5.1946,5.1946,4.0608,all,08/07/2026,500,6,
TalKennet,102901,4.4833,70,1000,0.5044,8,15132,11.2506,[0.5 100],[],yes,yes,yes,"T8,FC3,T9,T10",[5 6],spline,0.4092,6,12276,9.1272,20.3778,3.5732,all,09/07/2026,500,4,"weird psd, vey noisy channels/data"
TalKennet,103001,4.3167,70,1000,0.020833,1,625,0.48263,[0.5 100],[],yes,yes,yes,"T9,T10,TP7,FT9,P9,T8,F4",[1 2 3],spline,0,0,0,0,0.48263,4.2958,all,09/07/2026,500,7,
TalKennet,103101,4.15,70,1000,0.13633,3,4090,3.2852,[0.5 100],[],yes,yes,yes,"FT10,P9,T9,TP10,P10,T10,Fpz,FT9",[2 6 7],spline,0.24033,5,7210,5.7912,9.0763,3.8358,all,09/07/2026,500,8,
TalKennet,103301,4.4,70,1000,0.1393,5,4179,3.1659,[0.5 100],[],yes,yes,yes,"Fp2,T10",[1 2 6],spline,0.2976,3,8928,6.7637,9.9296,4.0157,all,09/07/2026,500,2,zapline plus removed in beta range- 27.7 hz noise
TalKennet,103501,4.1833,70,1000,0.113,4,3390,2.7012,[0.5 100],[],yes,yes,yes,"P9,PO7,T10,O1,AF7,AF3,FT9,T9,TP9,P10,PO8,Iz",[1 3],spline,0.059267,2,1778,1.4167,4.1179,4.014,all,09/07/2026,500,12,
TalKennet,103801,4.15,70,1000,0.024633,1,739,0.59358,[0.5 100],[],yes,yes,yes,"Fp2,O2,F8,TP9,F4,AF8,TP8,FT9,AF8,Fz,F3,T9,T10,TP7",[1 2],spline,0,0,0,0,0.59358,4.1254,all,09/07/2026,500,14,ica for blink removal did not work very well
TalKennet,104001,4.0667,70,1000,0.53677,9,16103,13.1992,[0.5 100],[],yes,yes,yes,"TP8,FT10,T9,FC1,F1,P8,F2,F6,AF3,AFz,P5,TP10,T10,TP9,C1,CPz,P7,Pz,P5,FC2",[1 4],spline,0.4126,12,12378,10.1459,23.3452,3.133,all,12/07/2026,500,20,VERY NOISY DATA
TalKennet,104101,4.1333,70,1000,0,0,0,0,[0.5 100],[],yes,yes,yes,"AF7,F8,F7,FT9,T10,TP9,TP7,P9,PO8,P10,PO7,POz,O2,FT10",[1 9],spline,0.22647,11,6794,5.4791,5.4791,3.9069,all,12/07/2026,500,14,"ICA did not clean well eyeblinks from fp2,fpz - and there are occational recurring oscilatory noise along the recording"
TalKennet,104901,4.25,70,1000,0.025833,1,775,0.60785,[0.5 100],[],yes,yes,yes,"TP9,FT10,PO8,F2,C3,C5,T9,P9,T10,T8",[2 6],spline,0,0,0,0,0.60785,4.2242,all,12/07/2026,500,10,
TalKennet,106201,4.2,70,1000,0.0075,1,225,0.17857,[0.5 100],[],yes,yes,yes,"FT9,F7,F8,T9,T7,TP9,C3,TP7,CP1,P9,TP10,P7,P8,P10,PO7,PO3,O1,O2,PO8",[2 6],spline,0.0186,2,558,0.44286,0.62143,4.1739,all,12/07/2026,500,19,"weird recurring peaks in all channels, could not remove them"
TalKennet,106501,4.1666,70,1000,0.053233,2,1597,1.2776,[0.5 100],[],yes,yes,yes,"F8,P8,Iz,FT9,T9,FT10,T10,TP9,TP8,TP10,P9,P10",[1 3],spline,0.033067,1,992,0.7936,2.0712,4.0804,all,12/07/2026,500,12,peak at beta
OSF_simple,A19,18.3333,64,512,2.3719,30,72866,12.9379,[0.5 100],[],yes,yes,yes,,[1 5],,0.53294,16,16372,2.907,15.8448,15.4345,all,22/07/2026,512,0,
OSF_simple,A1,16.9333,64,512,0,0,0,0,[0.5 100],[],yes,yes,yes,C5,1,spline,0.18271,4,5613,1.079,1.079,16.7506,all,22/07/2026,512,1,
